FDP_pd,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,Difference,ranking
14.87,Meyers_Leonard,4521,20200201,mia,orl,0,19.0,102.0,89.0,1,1.0,28.83333333,1.0,1.0,34.3,1.0,0.0,3500.0,5.0,66.25,0.25,18,14,1,0,0,2,4,7,14,0,0,-19.43,advanced
8.32,Isaiah_Thomas,4420,20200201,was,bkn,1,20.0,113.0,107.0,1,1.0,22.6,1.0,1.0,16.9,0.0,0.0,4300.0,1.0,65.7,0.86,12,2,3,0,0,2,2,5,16,0,0,-8.579999999999998,belowAvg
3.99,Mohamed_Bamba,5706,20200201,orl,mia,1,19.0,89.0,102.0,0,0.0,13.83333333,1.0,1.0,16.8,0.0,0.0,3800.0,5.0,66.25,0.0,4,4,0,0,3,1,0,2,3,0,0,-12.81,belowAvg
9.99,Donte_DiVincenzo,5740,20200202,mil,pho,1,14.0,129.0,108.0,1,0.0,22.16666667,1.0,1.0,22.9,0.0,0.0,4500.0,2.0,62.28,1.4,15,2,1,2,0,2,2,6,12,1,2,-12.909999999999998,average
9.95,Kentavious_Caldwell-Pope,4616,20200201,lal,sac,0,22.0,129.0,113.0,1,0.0,25.88333333,1.0,1.0,19.4,0.0,0.0,3800.0,2.0,67.12,-0.68,15,2,2,0,0,1,3,4,7,4,5,-9.45,belowAvg
0.0,DaQuan_Jeffries,5828,20200122,sac,det,0,19.0,106.0,127.0,0,0.0,1.533333333,1.0,1.0,0.0,0.0,0.0,3500.0,3.0,65.57,-4.0,0,0,0,0,0,0,0,0,2,0,0,0.0,benchPlayer
10.35,Shabazz_Napier,4694,20200201,min,lac,0,15.5,106.0,118.0,0,1.0,34.73333333,1.0,1.0,32.8,1.0,0.0,6000.0,1.0,66.94,-3.38,11,4,10,2,0,4,1,4,11,2,2,-22.449999999999996,advanced
21.97,Jaylen_Brown,5017,20200201,bos,phi,1,20.5,116.0,95.0,1,1.0,36.35,1.0,1.0,46.3,0.0,0.0,6400.0,3.0,65.43,1.22,32,9,1,2,0,4,1,0,0,5,7,-24.33,top
9.04,Larry_Nance,4798,20200201,cle,gsw,1,20.0,112.0,131.0,0,0.0,22.96666667,1.0,1.0,20.0,0.0,0.0,5400.0,4.0,63.19,0.86,12,5,2,0,0,1,2,5,10,0,0,-10.96,belowAvg
2.53,Aron_Baynes,4556,20200118,pho,bos,0,19.0,123.0,119.0,1,0.0,12.18333333,1.0,1.0,5.9,0.0,0.0,4100.0,5.0,66.89,-2.52,3,2,1,0,0,1,1,1,6,0,0,-3.3700000000000006,benchPlayer
