AS,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,ranking
-0.0,E'Twaun_Moore,4364,20200202,nor,hou,0,14.0,109.0,117.0,0,0.0,14.41666667,1.0,1.0,12.0,0.0,0.0,3500.0,3.0,66.62,-0.37,10,0,0,0,1,1,0,5,8,0,0,belowAvg
-0.0,OG_Anunoby,5241,20200202,tor,chi,1,15.0,129.0,102.0,1,1.0,21.05,1.0,1.0,13.4,0.0,0.0,4300.0,3.0,63.1,1.34,4,7,0,1,0,2,0,2,3,0,0,belowAvg
-0.0,Tariq_Owens,5926,20200202,pho,mil,0,14.0,108.0,129.0,0,0.0,7.05,1.0,1.0,4.4,0.0,0.0,3500.0,5.0,62.28,0.98,2,2,0,0,0,0,0,1,4,0,0,benchPlayer
5.0,Bam_Adebayo,5159,20200201,mia,orl,0,19.0,102.0,89.0,1,1.0,38.16666667,1.0,1.0,47.3,0.0,0.0,8000.0,4.0,66.25,0.25,4,14,5,3,4,2,0,1,8,2,4,top
1.0,Mikal_Bridges,5712,20200202,pho,mil,0,14.0,108.0,129.0,0,1.0,30.81666667,1.0,1.0,24.3,0.0,0.0,4800.0,3.0,62.28,0.98,7,4,1,2,2,1,0,2,9,3,4,average
3.0,Davis_Bertans,4989,20200201,was,bkn,1,20.0,113.0,107.0,1,0.0,30.18333333,1.0,1.0,28.9,0.0,0.0,5300.0,4.0,65.7,0.86,11,7,3,1,1,1,3,3,7,2,2,average
-0.0,Matthew_Mooney,5840,20200128,cle,nor,1,19.5,111.0,125.0,0,0.0,1.6333333330000002,1.0,1.0,0.0,0.0,0.0,3500.0,1.0,64.38,-0.36,0,0,0,0,0,0,0,0,0,0,0,benchPlayer
2.0,Kelly_Olynyk,4583,20200127,mia,orl,1,19.5,113.0,92.0,1,0.0,24.76666667,1.0,1.0,23.6,0.0,0.0,3700.0,5.0,66.34,0.32,8,3,2,0,3,0,0,2,6,4,5,average
8.0,Bruce_Brown,5738,20200202,det,den,1,12.5,128.0,123.0,1,0.0,37.95,1.0,1.0,43.0,1.0,0.0,4300.0,2.0,61.82,1.91,19,10,8,0,0,0,3,7,10,2,2,top
-0.0,Courtney_Lee,4110,20200114,dal,gsw,0,22.5,124.0,97.0,1,0.0,8.2,1.0,1.0,2.4,0.0,0.0,3500.0,2.0,67.62,-3.63,0,2,0,0,0,0,0,0,1,0,0,benchPlayer
1.0,Shaquille_Harrison,5249,20200202,chi,tor,0,15.0,102.0,129.0,0,0.0,4.433333333,1.0,1.0,10.9,0.0,0.0,3500.0,1.0,63.1,2.65,2,2,1,2,0,1,0,0,2,2,2,belowAvg
2.0,Eric_Gordon,4077,20200202,hou,nor,1,14.0,117.0,109.0,1,1.0,33.15,1.0,1.0,25.2,0.0,0.0,4900.0,3.0,66.62,0.19,9,1,2,4,0,0,1,4,12,0,0,average
4.0,Nikola_Vucevic,4373,20200201,orl,mia,1,19.0,89.0,102.0,0,1.0,34.16666667,1.0,1.0,42.8,0.0,0.0,8100.0,5.0,66.25,0.0,21,9,4,0,2,1,1,0,0,0,0,top
-0.0,Khyri_Thomas,5757,20191106,det,nyk,1,19.0,122.0,102.0,1,0.0,3.716666667,1.0,1.0,1.0,0.0,0.0,3500.0,2.0,65.38,0.27,1,0,0,0,0,0,0,0,0,1,2,benchPlayer
-0.0,Gabe_Vincent,5959,20200127,mia,orl,1,19.5,113.0,92.0,1,0.0,1.2,1.0,1.0,0.0,0.0,0.0,3500.0,1.0,66.34,0.32,0,0,0,0,0,0,0,0,1,0,0,benchPlayer
4.0,Shai_Gilgeous-Alexander,5690,20200131,okc,pho,0,21.0,111.0,107.0,1,1.0,34.0,1.0,1.0,30.8,0.0,0.0,7700.0,2.0,63.28,1.15,12,9,4,0,1,1,0,5,16,2,2,advanced
3.0,Nerlens_Noel,4652,20200131,okc,pho,0,21.0,111.0,107.0,1,0.0,25.15,1.0,1.0,31.9,0.0,0.0,4400.0,4.0,63.28,1.15,10,7,3,2,1,0,0,5,7,0,0,advanced
3.0,Marco_Belinelli,3974,20200201,sas,cha,1,21.0,114.0,90.0,1,0.0,15.0,1.0,1.0,6.7,0.0,0.0,3500.0,2.0,64.93,-0.36,1,1,3,0,0,0,0,0,2,1,2,benchPlayer
-0.0,Kevin_Knox,5705,20200201,nyk,ind,0,19.0,92.0,85.0,1,0.0,13.56666667,1.0,1.0,4.6,0.0,0.0,3500.0,3.0,63.6,2.37,2,3,0,0,0,1,0,1,7,0,0,benchPlayer
1.0,Glenn_Robinson_III,4702,20200201,gsw,cle,0,20.0,131.0,112.0,1,1.0,25.83333333,1.0,1.0,36.7,0.0,0.0,4200.0,3.0,63.19,4.07,22,1,1,3,1,0,3,9,13,1,2,advanced
