ID,Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
5837,Brandon_Clarke,20191221,mem,sac,1,20.0,119.0,115.0,1,0.0,18.75,1.0,1.0,19.3,0.0,0.0,5600.0,4.0,66.71,-0.64,8,4,3,1,0,1,0,4,6,0,2
5837,Brandon_Clarke,20191220,mem,cle,0,19.0,107.0,114.0,0,0.0,17.21666667,1.0,1.0,11.1,0.0,0.0,5900.0,4.0,66.43,-1.74,6,3,1,0,0,0,0,3,6,0,0
5837,Brandon_Clarke,20191218,mem,okc,0,20.0,122.0,126.0,0,0.0,25.23333333,1.0,1.0,34.9,0.0,0.0,5500.0,4.0,64.52,0.21,27,7,1,0,0,2,0,0,0,1,1
5837,Brandon_Clarke,20191216,mem,mia,1,20.0,118.0,111.0,1,0.0,25.56666667,1.0,1.0,29.3,0.0,0.0,5700.0,4.0,64.7,0.03,14,9,1,0,1,0,0,5,9,4,5
5837,Brandon_Clarke,20191214,mem,was,1,20.0,128.0,111.0,1,0.0,24.21666667,1.0,1.0,28.8,0.0,0.0,5700.0,4.0,64.7,-0.24,25,4,0,0,0,1,1,0,0,2,2
5837,Brandon_Clarke,20191211,mem,pho,0,21.0,115.0,108.0,1,0.0,21.95,1.0,1.0,28.4,0.0,0.0,5000.0,4.0,62.64,-1.92,15,7,0,0,2,1,2,5,6,3,5
5837,Brandon_Clarke,20191201,mem,min,0,15.5,115.0,107.0,1,1.0,10.4,1.0,1.0,2.7,0.0,0.0,5600.0,4.0,62.6,2.94,0,1,1,0,0,0,0,0,3,0,0
5837,Brandon_Clarke,20191129,mem,uta,1,20.0,94.0,103.0,0,0.0,18.35,1.0,1.0,23.0,0.0,0.0,5500.0,4.0,65.75,-0.21,13,5,2,0,1,2,1,5,6,2,3
5837,Brandon_Clarke,20191127,mem,lac,1,20.0,119.0,121.0,0,0.0,18.11666667,1.0,1.0,19.2,0.0,0.0,5500.0,4.0,66.52,-1.55,10,6,2,0,0,1,0,5,8,0,0
5837,Brandon_Clarke,20191125,mem,ind,0,19.0,114.0,126.0,0,0.0,24.61666667,1.0,1.0,25.3,0.0,0.0,5400.0,4.0,62.87,2.15,17,4,1,0,1,1,1,8,9,0,0
5837,Brandon_Clarke,20191123,mem,lal,1,20.0,108.0,109.0,0,0.0,21.11666667,1.0,1.0,27.2,0.0,0.0,5300.0,4.0,65.02,0.0,8,11,2,1,0,0,0,4,7,0,0
5837,Brandon_Clarke,20191119,mem,gsw,1,20.0,95.0,114.0,0,0.0,25.71666667,1.0,1.0,33.5,0.0,0.0,5500.0,4.0,65.02,0.17,17,5,3,1,1,0,0,6,14,5,6
5837,Brandon_Clarke,20191117,mem,den,1,18.0,114.0,131.0,0,0.0,24.21666667,1.0,1.0,25.5,0.0,0.0,4800.0,4.0,65.02,0.61,19,5,1,0,0,1,2,8,8,1,2
5837,Brandon_Clarke,20191115,mem,uta,1,20.0,107.0,106.0,1,0.0,18.13333333,1.0,1.0,18.8,0.0,0.0,4800.0,4.0,66.75,-0.69,10,4,0,1,1,2,0,5,7,0,0
5837,Brandon_Clarke,20191113,mem,cha,0,19.0,119.0,117.0,1,0.0,21.03333333,1.0,1.0,19.2,0.0,0.0,5400.0,4.0,65.93,-0.25,13,6,2,0,0,4,1,6,9,0,0
5837,Brandon_Clarke,20191111,mem,sas,0,19.5,113.0,109.0,1,0.0,17.51666667,1.0,1.0,24.1,0.0,0.0,5500.0,4.0,65.79,0.03,14,8,1,0,0,1,2,6,7,0,0
5837,Brandon_Clarke,20191108,mem,orl,0,19.0,86.0,118.0,0,0.0,24.58333333,1.0,1.0,23.7,0.0,0.0,5700.0,4.0,66.39,-0.62,13,6,1,0,1,1,1,5,12,2,2
5837,Brandon_Clarke,20191106,mem,min,1,20.0,137.0,121.0,1,0.0,21.93333333,1.0,1.0,29.6,0.0,0.0,5600.0,4.0,66.02,-0.25,18,8,2,0,0,1,0,7,7,4,4
5837,Brandon_Clarke,20191104,mem,hou,1,20.0,100.0,107.0,0,1.0,20.36666667,1.0,1.0,22.7,0.0,0.0,5600.0,4.0,65.7,0.07,3,6,1,0,4,1,0,1,4,1,1
5837,Brandon_Clarke,20191102,mem,pho,1,20.0,105.0,114.0,0,0.0,22.08333333,1.0,1.0,42.2,1.0,0.0,5300.0,4.0,66.52,-0.8,16,11,0,3,2,2,1,7,9,1,2
5837,Brandon_Clarke,20191029,mem,lal,0,22.5,91.0,120.0,0,0.0,18.51666667,1.0,1.0,16.2,0.0,0.0,5500.0,4.0,65.34,0.0,10,1,0,1,1,1,0,4,9,2,2
5837,Brandon_Clarke,20191027,mem,bkn,1,18.0,134.0,133.0,1,0.0,25.85,1.0,1.0,26.4,0.0,0.0,5500.0,4.0,65.06,0.28,10,7,2,1,1,1,0,5,12,0,0
5837,Brandon_Clarke,20191025,mem,chi,1,20.0,102.0,110.0,0,0.0,25.28333333,1.0,1.0,33.5,0.0,0.0,5000.0,4.0,65.47,0.15,14,5,1,1,3,0,0,7,9,0,0
5837,Brandon_Clarke,20191023,mem,mia,0,19.5,101.0,120.0,0,0.0,23.05,1.0,1.0,20.9,0.0,0.0,4000.0,4.0,66.71,-2.81,8,7,1,0,1,0,1,3,6,1,1
4379,Kyrie_Irving,20200201,bkn,was,0,20.0,107.0,113.0,0,1.0,28.63333333,1.0,1.0,21.8,0.0,0.0,8900.0,1.0,65.7,1.46,11,4,4,1,1,6,1,5,12,0,0
4379,Kyrie_Irving,20200131,bkn,chi,1,19.5,133.0,118.0,1,1.0,31.88333333,1.0,1.0,66.5,0.0,0.0,8900.0,1.0,67.71,-0.55,54,5,5,1,0,4,7,0,0,9,10
