Player_Name,Team,Win,Start,Minutes,FDP,DoubleD,TripleD,FD_Sal,FD_pos,ADI,VMI,pt,rb,as,st,bl,to,trey,fg,FGM,FG%,ft,FTM,FT%,ranking
Rondae Hollis-Jefferson,tor,Win,0,6.083333333,1.7,0,0,3600,4,63.92,3.05,0,1,1,0,0,1,0,0-1,0,0,0,0,0,belowAVG
Royce O'Neale,uta,Lose,0,23.46666667,19.7,0,0,3900,4,67.71,-15.62,3,6,1,2,1,1,1,6-Jan,1,0,0,0,0,Average
Rudy Gay,sas,Win,0,6.366666667,4.2,0,0,3900,3,64.93,-0.36,5,1,0,0,0,2,1,4-Feb,2,0,0,0,0,belowAVG
Rudy Gobert,uta,Lose,1,32.06666667,33.2,0,0,8700,5,67.71,-15.62,6,11,2,1,3,1,0,4-Jan,1,0.25,4-Apr,4,1,Advanced
Rui Hachimura,was,Win,1,17.01666667,8.4,0,0,6800,4,64.38,1,7,2,0,0,0,1,0,4-Mar,3,0.75,1-Jan,1,1,belowAVG
Russell Westbrook,hou,Win,1,36.03333333,40.7,0,0,11200,1,66.62,0.19,22,6,7,1,0,2,1,24-Sep,9,0.375,3-Mar,3,1,Advanced
Ryan Anderson,hou,Lose,0,9.833333333,14.2,0,0,3500,4,66.52,0.63,2,6,2,1,0,1,0,5-Jan,1,0,0,0,0,Average
Ryan Arcidiacono,chi,Lose,0,24.28333333,16.2,0,0,3500,1,63.1,2.65,12,1,2,0,0,0,3,10-Apr,4,0.4,2-Jan,1,0.5,Average
Ryan Broekhoff,dal,Win,0,22.53333333,18.7,0,0,3500,4,65.02,0.14,8,6,1,0,1,1,2,5-Feb,2,0.4,2-Feb,2,1,Average
Sekou Doumbouya,det,Win,1,34.88333333,21,0,0,3500,4,61.82,1.91,17,5,0,0,0,2,2,12-Jun,6,0.5,4-Mar,3,0.75,AboveAVG
Semi Ojeleye,bos,Win,0,24.35,20,0,0,3500,3,65.43,1.22,11,5,0,1,0,0,1,3-Feb,2,0.666666667,6-Jun,6,1,Average
Serge Ibaka,tor,Win,1,24.5,31.7,0,0,5800,4,63.1,1.34,16,6,1,0,3,2,1,12-Jul,7,0.583333333,2-Jan,1,0.5,Advanced
Seth Curry,dal,Win,0,20.75,25.2,0,0,4800,1,65.02,0.14,15,6,2,0,0,0,5,10-May,5,0,0,0,0,AboveAVG
Shabazz Napier,min,Lose,1,34.73333333,32.8,1,0,6000,1,66.94,-3.38,11,4,10,2,0,4,1,11-Apr,4,0.363636364,2-Feb,2,1,Advanced
Shai Gilgeous-Alexander,okc,Win,1,34,30.8,0,0,7700,2,63.28,1.15,12,9,4,0,1,1,0,16-May,5,0.3125,2-Feb,2,1,Advanced
