Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
J.J. Barea,PG,31.0,DAL,74.0,16.0,22.5,4.3,9.6,0.446,1.4,3.5,0.385,2.9,6.1,.481,0.516,1.0,1.3,0.7709999999999999,0.4,1.7,2.1,4.1,0.4,0.0,1.5,1.5,10.9,PG,31.0,74.0,1667,15.4,0.536,.366,.135,1.7,8.3,5.0,31.5,0.8,0.1,13.0,23.8,,2.1,0.7,2.8,.082,,1.6,-2.8,-1.2,0.3
Andrea Bargnani,C,30.0,BRK,46.0,0.0,13.8,2.8,6.1,0.455,0.1,0.3,0.188,2.7,5.7,.471,0.461,1.0,1.2,0.825,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,6.6,C,30.0,46.0,634,11.8,0.5,.057,.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,,0.1,0.0,0.2,.013,,-3.7,-4.2,-7.9,-0.9
Harrison Barnes,SF,23.0,GSW,66.0,59.0,30.9,4.5,9.6,0.466,1.2,3.2,0.38299999999999995,3.2,6.3,.508,0.531,1.5,2.0,0.7609999999999999,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7,SF,23.0,66.0,2042,12.3,0.5589999999999999,.338,.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,,3.1,1.9,4.9,.116,,0.4,-0.6,-0.2,0.9
Matt Barnes,SF,35.0,MEM,76.0,45.0,28.8,3.5,9.1,0.381,1.6,4.9,0.322,1.9,4.3,.449,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1.0,0.8,1.6,3.1,10.0,SF,35.0,76.0,2190,11.7,0.503,.534,.199,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,,0.4,2.2,2.6,.056,,-0.4,0.8,0.4,1.3
Will Barton,SG,25.0,DEN,82.0,1.0,28.7,5.2,12.0,0.43200000000000005,1.4,4.0,0.345,3.8,8.0,.476,0.489,2.6,3.3,0.8059999999999999,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4,SG,25.0,82.0,2353,16.0,0.535,.331,.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,,2.4,1.9,4.3,.088,,0.3,-0.4,-0.1,1.1
Brandon Bass,PF,30.0,LAL,66.0,0.0,20.3,2.6,4.8,0.5489999999999999,0.0,0.0,0.0,2.6,4.8,.552,0.5489999999999999,1.9,2.2,0.845,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,7.2,PF,30.0,66.0,1342,17.4,0.619,.006,.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,,3.4,0.7,4.1,.146,,0.1,0.7,0.8,1.0
Nicolas Batum,SF,27.0,CHO,70.0,70.0,35.0,5.3,12.5,0.426,2.0,5.7,0.348,3.3,6.8,.492,0.506,2.3,2.7,0.8490000000000001,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9,SF,27.0,70.0,2448,15.6,0.546,.457,.220,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,,2.0,2.9,5.0,.097,,1.1,0.9,2.0,2.5
Jerryd Bayless,SG,27.0,MIL,52.0,18.0,28.9,3.6,8.4,0.423,1.9,4.4,0.43700000000000006,1.6,4.0,.408,0.539,1.3,1.7,0.778,0.4,2.3,2.7,3.1,0.9,0.2,1.4,2.1,10.4,SG,27.0,52.0,1505,12.4,0.568,.529,.206,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,,1.8,0.6,2.4,.075,,1.1,-2.1,-1.0,0.4
Aron Baynes,C,29.0,DET,81.0,1.0,15.2,2.4,4.7,0.505,0.0,0.0,0.0,2.4,4.7,.508,0.505,1.6,2.0,0.764,1.7,3.0,4.7,0.6,0.3,0.6,0.8,1.9,6.3,C,29.0,81.0,1233,17.8,0.563,.005,.430,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,,2.4,1.7,4.1,.158,,-1.3,1.1,-0.2,0.6
Kent Bazemore,SF,26.0,ATL,75.0,68.0,27.8,4.3,9.7,0.441,1.5,4.1,0.35700000000000004,2.8,5.6,.502,0.517,1.6,2.0,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6,SF,26.0,75.0,2083,13.4,0.551,.421,.208,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,,0.3,3.8,4.1,.094,,-1.3,1.6,0.3,1.2
