Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Bertans Davis,Bertans,Davis,Davis Bertans,4989,20200209,,25.7,"5,600",PF,was,H,mem,99,106,31.75,15pt 6rb 1as 1st 1to 3trey 6-13fg
Covington Robert,Covington,Robert,Robert Covington,4570,20200209,1,25,"6,000",PF,hou,H,uta,113,114,34.77,14pt 5rb 1st 1bl 1to 4trey 5-12fg
Young Thaddeus,Young,Thaddeus,Thaddeus Young,4037,20200209,1,23,"5,700",PF,chi,A,phi,111,118,36.85,10pt 10rb 1st 2to 5-11fg
Brown Jaylen,Brown,Jaylen,Jaylen Brown,5017,20200209,1,22.6,"6,400",SF,bos,A,okc,112,111,34.38,17pt 3rb 2as 1to 3trey 7-17fg
Harris Tobias,Harris,Tobias,Tobias Harris,4412,20200209,1,22.6,"6,600",SF,phi,H,chi,118,111,30.48,14pt 3rb 4as 1to 2trey 5-9fg 2-2ft
Hutchison Chandler,Hutchison,Chandler,Chandler Hutchison,5686,20200209,1,22.4,"4,700",SF,chi,A,phi,111,118,31.15,5pt 7rb 4as 1st 1trey 2-9fg 0-2ft
Anthony Carmelo,Anthony,Carmelo,Carmelo Anthony,3510,20200209,1,21.2,"5,100",SF,por,H,mia,115,109,32.83,15pt 6rb 2as 4to 3trey 6-14fg 0-1ft
Brown Jr. Troy,Brown,Jr. Troy,Jr. Troy Brown,5699,20200209,,20.5,"4,600",SF,was,H,mem,99,106,24.23,6pt 5rb 3as 2st 2to 3-8fg
Coffey Amir,Coffey,Amir,Amir Coffey,5800,20200209,,20.3,"3,500",PF,lac,A,cle,133,92,24.52,10pt 4rb 1as 1st 1bl 2to 5-7fg 0-1ft
Green JaMychal,Green,JaMychal,JaMychal Green,4581,20200209,,18.9,"3,600",PF,lac,A,cle,133,92,24.22,6pt 7rb 3as 1trey 2-7fg 1-2ft
Ingles Joe,Ingles,Joe,Joe Ingles,4701,20200209,1,18.5,"4,500",SF,uta,A,hou,114,113,32.62,3pt 5rb 7as 1st 4to 1trey 1-2fg
Horford Al,Horford,Al,Al Horford,3998,20200209,1,17.4,"5,700",PF,phi,H,chi,118,111,30.27,0pt 7rb 2as 2bl 0-6fg
Bogdanovic Bojan,Bogdanovic,Bojan,Bojan Bogdanovic,4709,20200209,1,15.4,"5,700",SF,uta,A,hou,114,113,32.27,8pt 2rb 4as 1to 2trey 2-7fg 2-2ft
