,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
39,Dāvis Bertāns,PF,27.0,WAS,38.0,4.0,29.2,4.8,11.2,0.431,3.6,8.5,0.42200000000000004,1.3,2.8,.457,0.59,1.7,1.9,.878,0.8,3.8,4.6,1.7,0.7,0.7,0.9,2.5,15.0,PF,27.0,WAS,38.0,1111,15.6,0.619,.754,.173,2.7,14.8,8.6,8.0,1.1,1.9,7.3,18.5,,2.2,0.1,2.3,.101,,3.3,-2.4,0.9,0.8
40,Patrick Beverley,PG,31.0,LAC,37.0,37.0,28.2,3.1,7.2,0.42700000000000005,1.5,4.3,0.361,1.5,2.9,.523,0.534,0.6,1.0,.632,1.3,4.5,5.9,4.0,1.3,0.6,1.3,3.2,8.4,PG,31.0,LAC,37.0,1045,13.2,0.545,.592,.142,4.9,16.2,10.7,18.8,2.2,1.9,14.5,13.1,,1.3,1.6,2.9,.135,,1.1,3.0,4.1,1.6
41,Khem Birch,C,27.0,ORL,34.0,22.0,21.3,1.5,3.1,0.486,0.0,0.0,0.0,1.5,3.1,.491,0.486,1.1,1.9,.600,2.0,2.9,4.9,1.0,0.5,0.6,0.6,1.9,4.2,C,27.0,ORL,34.0,723,10.5,0.527,.009,.607,9.4,15.2,12.2,6.5,1.1,2.5,14.0,9.4,,0.6,0.9,1.5,.100,,-3.1,2.3,-0.8,0.2
42,Goga Bitadze,C,20.0,IND,38.0,2.0,9.2,1.3,2.7,0.48,0.1,0.6,0.16699999999999998,1.2,2.1,.577,0.5,0.5,0.8,.690,0.6,1.7,2.3,0.5,0.1,0.7,0.6,1.2,3.2,C,20.0,IND,38.0,351,12.0,0.532,.235,.284,6.7,20.5,13.6,7.4,0.3,6.7,15.5,17.0,,0.0,0.5,0.5,.073,,-4.1,2.1,-2.0,0.0
43,Bismack Biyombo,C,27.0,CHO,43.0,25.0,19.1,2.9,5.4,0.537,0.0,0.0,0.0,2.9,5.4,.537,0.537,1.7,2.7,.619,2.3,3.5,5.9,0.8,0.2,0.8,0.9,2.2,7.5,C,27.0,CHO,43.0,822,16.2,0.5670000000000001,.000,.511,12.7,21.1,16.7,7.1,0.5,4.0,11.8,17.1,,1.3,0.6,1.9,.111,,-2.4,0.3,-2.1,0.0
44,Nemanja Bjelica,PF,31.0,SAC,48.0,45.0,28.2,4.6,9.6,0.483,2.0,4.5,0.435,2.7,5.1,.524,0.584,1.0,1.2,.857,1.7,4.8,6.5,2.7,0.9,0.6,1.5,3.0,12.3,PF,31.0,SAC,48.0,1353,16.5,0.604,.468,.121,6.5,19.8,13.0,14.6,1.6,2.0,12.9,18.0,,2.4,1.4,3.8,.133,,1.8,1.0,2.8,1.6
45,Eric Bledsoe,PG,30.0,MIL,40.0,40.0,26.5,5.7,11.7,0.484,1.3,3.6,0.34700000000000003,4.4,8.1,.545,0.537,2.9,3.5,.829,0.7,3.8,4.5,5.2,0.9,0.5,2.3,2.2,15.5,PG,30.0,MIL,40.0,1058,19.3,0.585,.308,.300,2.9,13.3,8.4,28.3,1.6,1.7,14.5,24.2,,2.2,1.9,4.1,.185,,1.5,0.9,2.4,1.2
46,Bogdan Bogdanović,SG,27.0,SAC,37.0,4.0,28.0,5.4,12.4,0.434,2.6,7.0,0.375,2.8,5.4,.510,0.539,1.2,1.8,.667,0.4,2.8,3.2,3.3,0.9,0.2,1.9,2.1,14.6,SG,27.0,SAC,37.0,1037,14.3,0.552,.564,.144,1.4,11.7,6.4,18.7,1.7,0.8,12.7,23.5,,0.6,0.7,1.3,.061,,0.9,-1.7,-0.8,0.3
47,Bojan Bogdanović,SF,30.0,UTA,47.0,47.0,33.3,7.0,15.4,0.452,3.2,7.5,0.42700000000000005,3.7,7.9,.477,0.557,4.0,4.5,.900,0.6,3.6,4.1,2.0,0.6,0.1,2.7,1.7,21.1,SF,30.0,UTA,47.0,1565,16.3,0.61,.490,.290,2.0,11.2,6.8,9.7,0.8,0.3,13.5,26.3,,2.1,1.5,3.6,.110,,1.7,-1.7,-0.1,0.8
48,Jonah Bolden,PF,24.0,PHI,4.0,0.0,3.5,0.5,0.8,0.667,0.0,0.3,0.0,0.5,0.5,1.000,0.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0,PF,24.0,PHI,4.0,14,-2.0,0.515,.333,.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.136,,-10.0,-1.0,-11.0,0.0
49,Jordan Bone,PG,22.0,DET,6.0,0.0,3.2,0.3,1.5,0.222,0.0,0.5,0.0,0.3,1.0,.333,0.222,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.7,PG,22.0,DET,6.0,19,-8.5,0.222,.333,.000,0.0,0.0,0.0,22.0,0.0,0.0,18.2,25.1,,-0.1,0.0,-0.1,-0.349,,-15.3,-9.7,-25.0,-0.1
50,Isaac Bonga,SF,20.0,WAS,42.0,28.0,17.5,1.7,3.1,0.545,0.3,0.8,0.4,1.4,2.3,.598,0.598,0.9,1.1,.766,1.0,2.2,3.3,1.0,0.7,0.3,0.7,2.3,4.6,SF,20.0,WAS,42.0,735,11.1,0.635,.265,.356,6.3,14.4,10.2,7.6,1.8,1.5,16.4,10.3,,1.0,0.2,1.2,.076,,-0.6,-0.2,-0.8,0.2
51,Devin Booker,SG,23.0,PHO,45.0,45.0,36.1,9.3,18.2,0.51,1.9,5.3,0.364,7.4,12.9,.570,0.563,6.6,7.1,.919,0.5,3.5,4.0,6.4,0.8,0.2,3.9,3.2,27.1,SG,23.0,PHO,45.0,1623,21.2,0.634,.291,.391,1.6,11.0,6.2,29.9,1.0,0.6,15.6,29.7,,4.2,1.0,5.2,.153,,4.1,-1.9,2.2,1.7
52,Chris Boucher,PF,27.0,TOR,41.0,0.0,12.9,2.2,4.7,0.461,0.5,1.7,0.29,1.7,3.0,.556,0.513,1.4,1.9,.750,1.9,2.6,4.5,0.4,0.3,0.9,0.4,1.8,6.2,PF,27.0,TOR,41.0,529,20.5,0.563,.358,.394,15.3,20.8,18.1,5.1,1.3,6.9,6.6,19.6,,1.3,1.1,2.4,.219,,0.2,2.1,2.3,0.6
53,Brian Bowen,SG,21.0,IND,3.0,0.0,3.3,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,.333,0.25,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.7,SG,21.0,IND,3.0,10,1.0,0.25,.250,.000,0.0,11.1,5.6,0.0,0.0,8.7,0.0,17.6,,0.0,0.0,0.0,-0.149,,-12.6,-0.5,-13.1,0.0
54,Ky Bowman,PG,22.0,GSW,37.0,10.0,22.4,2.9,7.1,0.409,0.8,2.4,0.344,2.1,4.7,.443,0.46799999999999997,0.6,0.8,.828,0.5,2.1,2.5,2.8,1.0,0.1,1.3,2.2,7.3,PG,22.0,GSW,37.0,827,9.3,0.49,.341,.110,2.2,10.2,6.1,19.4,2.1,0.5,15.0,16.8,,-0.3,0.5,0.1,.007,,-3.1,-1.2,-4.3,-0.5
