Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win,Start,Mins_played,FDP,DoubleD,TripleD,FD_Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,3pts,FGM,FGA,FG%,FTM,FTA,FT%
Thanasis Antetokounmpo,1/24/2020,mil,cha,1,15,116,103,1,0,0.516666667,0,0,0,3500,3,63.69,2.68,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00
Thanasis Antetokounmpo,1/11/2020,mil,por,1,22,122,101,1,0,5.25,0.2,0,0,3500,3,66.94,-0.46,0,1,0,0,0,1,0,0,2,0.00,0,0,0.00
Thanasis Antetokounmpo,1/10/2020,mil,sac,1,22,127,106,1,0,2.666666667,4,0,0,3500,3,67.53,-1.87,4,0,0,0,0,0,0,2,2,1.00,0,0,0.00
Thanasis Antetokounmpo,1/6/2020,mil,sas,0,20.5,104,126,0,0,2.6,0,0,0,3500,3,64.97,-1.37,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00
Thanasis Antetokounmpo,1/4/2020,mil,sas,1,20.5,127,118,1,0,2.166666667,-1,0,0,3500,3,64.65,-1.05,0,0,0,0,0,1,0,0,0,0.00,0,0,0.00
Thanasis Antetokounmpo,12/30/2019,mil,chi,1,20,123,102,1,0,2.683333333,0,0,0,3500,3,62.41,1.92,0,0,0,0,0,0,0,0,1,0.00,0,0,0.00
Thanasis Antetokounmpo,12/28/2019,mil,orl,1,20.5,111,100,1,0,0.916666667,-1,0,0,3500,3,64.29,0.04,0,0,0,0,0,1,0,0,0,0.00,0,0,0.00
Thanasis Antetokounmpo,12/27/2019,mil,atl,1,19.5,112,86,1,0,6.933333333,11.2,0,0,3500,3,63.6,2.44,4,1,2,1,0,0,0,2,3,0.67,0,0,0.00
Thanasis Antetokounmpo,12/21/2019,mil,nyk,1,19.5,123,102,1,0,6.716666667,9.4,0,0,3500,3,68.81,-3.94,4,2,0,0,1,0,0,1,2,0.50,2,4,0.50
Thanasis Antetokounmpo,12/13/2019,mil,mem,1,20,127,114,1,0,0.7,0,0,0,3500,3,64.38,0.53,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00
Thanasis Antetokounmpo,12/2/2019,mil,nyk,1,20,132,88,1,0,12,14.7,0,0,3500,3,64.47,-0.67,10,1,3,0,0,1,0,4,6,0.67,2,4,0.50
Thanasis Antetokounmpo,11/23/2019,mil,det,1,20.5,104,90,1,0,2.233333333,-1,0,0,3500,3,63.1,0.37,0,0,0,0,0,1,0,0,0,0.00,0,0,0.00
Thanasis Antetokounmpo,11/16/2019,mil,ind,1,19,102,83,1,0,3.833333333,2,0,0,3500,3,65.43,-2.88,2,0,0,0,0,0,0,1,2,0.50,0,0,0.00
Thanasis Antetokounmpo,11/1/2019,mil,orl,1,19,123,91,1,0,6.45,5.9,0,0,3500,3,66.75,-1.06,2,2,1,0,0,0,0,1,2,0.50,0,0,0.00
Louis King,1/27/2020,det,cle,0,19,100,115,0,0,11.13333333,4.7,0,0,3500,3,63.83,-0.18,3,1,1,0,0,1,1,1,3,0.33,0,0,0.00
Louis King,1/25/2020,det,bkn,0,19,111,121,0,0,11.83333333,4,0,0,3500,3,63.24,0.44,4,0,0,0,0,0,0,2,4,0.50,0,1,0.00
Louis King,1/24/2020,det,mem,0,19,112,125,0,0,14.23333333,15.3,0,0,3500,3,63.42,1.23,3,4,3,1,0,0,1,1,3,0.33,0,2,0.00
Louis King,1/22/2020,det,sac,1,19,127,106,1,0,1.533333333,1.2,0,0,3500,3,65.57,0.19,0,1,0,0,0,0,0,0,0,0.00,0,0,0.00
Louis King,1/2/2020,det,lac,0,22.5,112,126,0,0,2.266666667,0,0,0,3500,3,66.11,-8.43,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00
Louis King,12/30/2019,det,uta,0,21,81,104,0,0,2.483333333,0,0,0,3500,3,48.9,14.84,0,0,0,0,0,0,0,0,1,0.00,0,0,0.00
Louis King,12/28/2019,det,sas,0,20.5,109,136,0,0,3.116666667,6.7,0,0,3500,3,62.96,1.52,5,1,1,0,0,1,1,2,3,0.67,0,0,0.00
Louis King,12/26/2019,det,was,1,19,132,102,1,0,3.716666667,6.2,0,0,3500,3,64.33,0.15,2,1,0,1,0,0,0,1,3,0.33,0,0,0.00
Quinn Cook,2/1/2020,lal,sac,1,22,129,113,1,0,3.333333333,5,0,0,3700,1,67.12,-0.68,5,0,0,0,0,0,1,2,2,1.00,0,0,0.00
Quinn Cook,1/31/2020,lal,por,0,22.5,119,127,0,0,5.033333333,3,0,0,3700,1,67.03,-0.59,3,0,0,0,0,0,1,1,3,0.33,0,0,0.00
Quinn Cook,1/23/2020,lal,bkn,1,20,128,113,1,0,2.85,2,0,0,3700,1,68.17,-0.53,2,0,0,0,0,0,0,1,4,0.25,0,0,0.00
