Player_Name,FD_pos,position,FD_Sal,PFDP,Last_FDP,Rank,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
Chris_Clemons,1,PG,3500,9.98,3.2,benchPlayer,5.192307692,0.807692308,0.730769231,0.192307692,0.153846154,0.615384615,1.269230769,1.884615385,4.5,0.153846154,0.192307692
Chris_Paul,1,PG,7300,4.89,49.2,top,17.12244898,5.12244898,6.591836735,1.612244898,0.12244898,2.102040816,1.591836735,5.326530612,11.44897959,2.918367347,3.285714286
Clint_Capela,5,C,7800,17.22,8.9,benchPlayer,13.92307692,13.76923077,1.230769231,0.871794872,1.794871795,1.615384615,0,5.435897436,8.692307692,1.41025641,2.666666667
Cory_Joseph,1,PG,3800,2.42,21.7,average,6.469387755,2.693877551,3.551020408,0.693877551,0.326530612,1.163265306,0.775510204,2.469387755,6.183673469,0.755102041,0.897959184
Cristiano_Felicio,5,C,3600,6.14,7.8,benchPlayer,3.5,4.333333333,0.5,0.333333333,0.083333333,0.666666667,0,1.416666667,2.083333333,0.666666667,0.833333333
D.J._Wilson,4,PF,3500,12.29,0,benchPlayer,3.076923077,2,0.692307692,0.038461538,0.153846154,0.461538462,0.423076923,1.230769231,3.038461538,0.192307692,0.269230769
Damion_Lee,2,SG,4200,3.12,28.8,average,11.70588235,5.147058824,2.441176471,0.911764706,0.088235294,1.352941176,1.264705882,4.029411765,9.764705882,1.794117647,2.117647059
Daniel_Theis,4,PF,5100,8.6,12.4,belowAvg,8.068181818,6.159090909,1.590909091,0.681818182,1.431818182,0.840909091,0.409090909,3.318181818,6.068181818,1.022727273,1.477272727
De'Aaron_Fox,1,PG,7900,11.09,34.7,advanced,19.87096774,4.290322581,7.032258065,1.580645161,0.548387097,3.451612903,0.935483871,5.322580645,12.12903226,3.741935484,5.548387097
DeAndre_Jordan,5,C,4800,3.1,33.7,advanced,7.825,9.675,1.95,0.4,1,1.3,0,3.2,4.8,1.425,2.075
De'Anthony_Melton,1,PG,4300,0.75,12.7,belowAvg,8.083333333,3.694444444,3,1.277777778,0.333333333,1.472222222,0.555555556,2.944444444,6.222222222,1.638888889,1.916666667
Dejounte_Murray,1,PG,4900,2.08,34,advanced,10.09090909,5.772727273,3.863636364,1.681818182,0.295454545,2.090909091,0.522727273,4.181818182,8.590909091,1.204545455,1.545454545
DeMar_DeRozan,2,SG,8600,7.95,39.4,advanced,23.04166667,5.666666667,5.1875,1.020833333,0.25,2.479166667,0.166666667,3.854166667,8.395833333,3.520833333,4.229166667
Denzel_Valentine,3,SF,3700,2.38,6.2,benchPlayer,5.766666667,1.9,1.133333333,0.666666667,0.166666667,0.666666667,1.2,2.2,5.466666667,0.166666667,0.166666667
Deonte_Burton,2,SG,3500,0.27,0,benchPlayer,2.7,1.3,0.333333333,0.1,0.3,0.3,0.233333333,1.133333333,3.1,0.2,0.4
Derrick_Walton_Jr.,1,PG,3500,11.65,2.5,benchPlayer,2.173913043,0.652173913,0.956521739,0.173913043,0,0.173913043,0.391304348,0.739130435,1.565217391,0.304347826,0.391304348
Derrick_White,1,PG,4100,5.48,18.5,belowAvg,9.97826087,3.065217391,3.217391304,0.586956522,0.804347826,1.217391304,0.97826087,3.456521739,7.434782609,2.086956522,2.543478261
Devon_Hall,2,SG,3500,1.44,0,benchPlayer,1,0.2,0.6,0,0,0.2,0,0.2,1,0.6,0.8
Dewan_Hernandez,4,PF,3500,2.68,0,benchPlayer,1,1.75,0,0.25,0,0.25,0,0.25,1.25,0.5,0.5
Domantas_Sabonis,4,PF,8400,2.45,34.6,advanced,18.15217391,12.69565217,4.52173913,0.717391304,0.543478261,2.739130435,0.239130435,4.934782609,10.08695652,3.391304348,4.695652174
Dorian_Finney-Smith,3,SF,4500,9.34,45.4,top,9.375,5.5625,1.333333333,0.6875,0.541666667,0.916666667,1.583333333,3.3125,7.083333333,1.166666667,1.645833333
Dragan_Bender,4,PF,3500,6.2,6.9,benchPlayer,3.714285714,2.857142857,1.285714286,0,0.714285714,0.714285714,0.571428571,1.428571429,3,0.285714286,0.428571429
Drew_Eubanks,5,C,3500,0.89,2,benchPlayer,3,2.285714286,0.285714286,0,0.142857143,0.571428571,0,1.285714286,2,0.428571429,0.428571429
Dzanan_Musa,3,SF,3500,3.03,0,benchPlayer,4.151515152,2,0.939393939,0.363636364,0.03030303,0.848484848,0.424242424,1.363636364,4.060606061,1,1.333333333
Elfrid_Payton,1,PG,6200,0.01,43.9,top,8.935483871,4.322580645,6.451612903,1.451612903,0.451612903,1.935483871,0.387096774,3.967741935,9.387096774,0.612903226,1.225806452
Frank_Mason_III,1,PG,3500,0.01,3.7,benchPlayer,1.25,0.5,1.25,0.25,0,0.25,0.25,0.25,1.75,0.5,1
George_Hill,1,PG,3800,8.65,4.7,benchPlayer,9.727272727,3.022727273,3,0.727272727,0.090909091,0.954545455,1.522727273,3.477272727,6.431818182,1.25,1.522727273
Gordon_Hayward,3,SF,6600,6.5,19.8,belowAvg,16.8125,6.375,3.90625,0.75,0.40625,1.8125,1.5,5.40625,11.5,2.125,2.40625
Grayson_Allen,2,SG,3700,1.39,0.2,benchPlayer,7.366666667,2.2,1.433333333,0.233333333,0.033333333,0.766666667,1.1,2.633333333,5.866666667,1,1.166666667
Harry_Giles,4,PF,3800,9.73,26.1,average,4.956521739,2.913043478,1.304347826,0.52173913,0.391304348,0.869565217,0,2.173913043,4.260869565,0.608695652,0.695652174
Iman_Shumpert,2,SG,3500,16.86,6.4,benchPlayer,4.153846154,2.615384615,0.923076923,0.923076923,0.153846154,0.769230769,0.615384615,1.615384615,4.923076923,0.307692308,0.538461538
Jahlil_Okafor,5,C,3500,7.2,6.4,benchPlayer,8.32,4.52,1.4,0.2,0.76,1.4,0.04,2.96,4.68,1.08,1.76
JaKarr_Sampson,3,SF,3500,6.63,1.2,benchPlayer,4.222222222,2.388888889,0.222222222,0.333333333,0.444444444,0.333333333,0.111111111,1.944444444,3.277777778,0.222222222,0.555555556
Jakob_Poeltl,5,C,4900,5.81,34.9,advanced,5.5,5.6875,1.833333333,0.5,1.583333333,0.791666667,0,2.416666667,3.895833333,0.666666667,1.291666667
Jalen_Lecque,1,PG,3500,2.52,5.5,benchPlayer,2,0,0.5,0,0,0,0,1,2,0,0
James_Harden,2,SG,11000,19.76,67.5,top,35.73913043,6.434782609,7.239130435,1.608695652,0.956521739,4.52173913,4.673913043,3.173913043,8.586956522,3.391304348,4.02173913
James_Johnson,4,PF,3500,10.77,14.8,belowAvg,5.666666667,2.888888889,1.166666667,0.333333333,0.722222222,0.833333333,0.888888889,2.166666667,4.833333333,0.444444444,0.777777778
Jeff_Green,4,PF,3500,2.51,17.2,belowAvg,7.766666667,2.7,0.666666667,0.4,0.333333333,0.9,1.133333333,2.5,6.5,1.633333333,2.1
Jeremiah_Martin,1,PG,3500,4.73,1.2,benchPlayer,0,1,0,0,0,0,0,0,1,0,0
Jeremy_Lamb,2,SG,4300,9.86,11.4,belowAvg,12.92105263,4.526315789,2.157894737,1.210526316,0.5,1.131578947,1.131578947,4.315789474,9.868421053,2.052631579,2.342105263
Joe_Ingles,3,SF,4700,1.02,13.7,belowAvg,10.44897959,4.06122449,5.020408163,0.897959184,0.12244898,1.795918367,2.102040816,3.244897959,7.632653061,1.040816327,1.346938776
Josh_Gray,1,PG,3500,12.18,-0.5,benchPlayer,1,1,1,0,0,2.5,0,0.5,1,0,0
Josh_Richardson,2,SG,5600,1.84,0,benchPlayer,14.97368421,3.289473684,3.394736842,0.973684211,0.605263158,2.105263158,1.605263158,4.947368421,11.81578947,2.105263158,2.631578947
Jrue_Holiday,2,SG,7800,-0.09,22.6,average,19.73170732,4.756097561,6.341463415,1.707317073,0.87804878,2.975609756,2.048780488,4.097560976,10.70731707,2.12195122,2.975609756
Justin_Anderson,2,SG,3500,10.28,2.2,benchPlayer,1,0.666666667,0,0,0.333333333,0,0,0.333333333,2,0.333333333,0.666666667
Justin_Jackson,3,SF,3500,22.62,20.1,average,5.977272727,2.5,0.727272727,0.204545455,0.136363636,0.227272727,0.863636364,2.25,5.590909091,0.613636364,0.727272727
Justin_James,2,SG,3500,4.97,0,benchPlayer,2.714285714,1.071428571,0.535714286,0.214285714,0.321428571,0.25,0.285714286,1.035714286,2.642857143,0.357142857,0.678571429
Kadeem_Allen,2,SG,3600,2.24,13.2,belowAvg,5,0.9,2.1,0.5,0.2,0.8,0.5,1.9,4.4,0.7,1.1
Kelly_Oubre,3,SF,6800,3.44,33,advanced,18.46808511,6.723404255,1.553191489,1.361702128,0.744680851,1.617021277,1.808510638,5.191489362,12.12765957,3.638297872,4.617021277
Kendrick_Nunn,1,PG,5100,1.2,6.5,benchPlayer,15.81818182,2.704545455,3.386363636,0.863636364,0.181818182,1.818181818,2,4.931818182,11.47727273,1.363636364,1.659090909
Kent_Bazemore,3,SF,3700,20.15,15.7,belowAvg,7.897959184,3.918367347,1.326530612,1.040816327,0.653061224,1.367346939,1.244897959,2.591836735,7.408163265,1.469387755,1.857142857
Kevin_Porter,3,SF,4000,7.72,22.6,average,9.243243243,3.189189189,1.810810811,0.837837838,0.189189189,1.918918919,0.972972973,3.486486486,7.864864865,1.297297297,1.72972973
Kevon_Looney,5,C,3500,1.7,15.8,belowAvg,2.545454545,3,0.363636364,0.454545455,0.272727273,0.545454545,0.090909091,1,3.090909091,0.454545455,0.636363636
